EmployeeID,FirstName,LastName,Gender,DateOfBirth,Nationality,MaritalStatus,EducationLevel,Email,DateOfJoining,DateOfLeaving,ReasonForLeaving,VoluntaryExit,RecruitmentSource,TimeToHire,CostPerHire
110001,Gwyn,Etzel,F,1980-05-17,UK,Single,Associate’s Degree,gwyn.etzel@lumen.com,2024-06-19,,,,3,45,3000
110002,Ressie,Goodwyn,F,1969-04-29,UK,Single,Master’s Degree,ressie.goodwyn@lumen.com,2024-03-29,,,,2,48,2000
110003,Colton,Salzman,M,1997-09-27,USA,Single,Technical Certificate,colton.salzman@lumen.com,2024-03-03,,,,2,57,4000
110004,Marylynn,Ealey,F,1991-08-01,Australia,Single,Technical Certificate,marylynn.ealey@lumen.com,2024-03-11,,,,4,50,2500
110005,Bula,Reich,F,1991-04-16,Australia,Single,Master’s Degree,bula.reich@lumen.com,2024-02-08,,,,4,34,3200
110006,Irwin,River,M,1978-07-21,UK,Single,Master’s Degree,irwin.river@lumen.com,2024-05-31,,,,3,38,2800
110007,Larisa,Still,F,1972-05-30,Australia,Married,Bachelor's Degree,larisa.still@lumen.com,2024-02-04,,,,4,55,3500
110008,Neil,Gebhard,M,1996-08-07,Australia,Single,High School Diploma,neil.gebhard@lumen.com,2024-05-23,,,,4,36,3000
110009,Kermit,Mcphail,M,1979-08-09,UK,Married,Associate’s Degree,kermit.mcphail@lumen.com,2024-03-15,,,,2,46,4500
110010,Julio,Dockery,F,1970-05-14,USA,Married,Master’s Degree,julio.dockery@lumen.com,2024-04-22,,,,3,59,2800
110011,Tressa,Standard,F,1995-08-09,Australia,Married,Master’s Degree,tressa.standard@lumen.com,2024-02-05,,,,4,57,3000
110012,Dwayne,Marker,M,1996-06-27,UK,Single,Master’s Degree,dwayne.marker@lumen.com,2024-04-14,,,,2,59,2000
110013,Ayako,Bachmann,F,1979-01-19,UK,Married,Technical Certificate,ayako.bachmann@lumen.com,2024-04-15,,,,4,34,4000
110014,Salena,Santillan,F,1978-07-05,USA,Married,Bachelor's Degree,salena.santillan@lumen.com,2024-03-21,,,,4,48,2500
110015,Nelson,Dubuc,M,1997-08-31,UK,Married,Bachelor's Degree,nelson.dubuc@lumen.com,2024-03-02,,,,1,52,3200
110016,Lincoln,Demaria,M,1977-01-26,Italy,Married,Bachelor's Degree,lincoln.demaria@lumen.com,2024-04-30,,,,4,51,2800
